Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.10     0.00     8770     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_create_node(std::pair<std::string const, std::string> const&)
  0.00      0.10     0.00     8768     0.00     0.00  std::pair<std::string const, std::string>::pair(std::string const&, std::string const&)
  0.00      0.10     0.00     8765     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >::allocate(unsigned int, void const*)
  0.00      0.10     0.00     8764     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_get_node()
  0.00      0.10     0.00     8755     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::destroy_node(std::_Rb_tree_node<std::pair<std::string const, std::string> >*)
  0.00      0.10     0.00     8753     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::insert_unique(std::_Rb_tree_iterator<std::pair<std::string const, std::string> >, std::pair<std::string const, std::string> const&)
  0.00      0.10     0.00     8748     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_put_node(std::_Rb_tree_node<std::pair<std::string const, std::string> >*)
  0.00      0.10     0.00     8747     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::string const, std::string> >::construct(std::pair<std::string const, std::string>*, std::pair<std::string const, std::string> const&)
  0.00      0.10     0.00     8746     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, std::string> >::operator!=(std::_Rb_tree_const_iterator<std::pair<std::string const, std::string> > const&) const
  0.00      0.10     0.00     8744     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >::deallocate(std::_Rb_tree_node<std::pair<std::string const, std::string> >*, unsigned int)
  0.00      0.10     0.00     8730     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::insert(std::_Rb_tree_iterator<std::pair<std::string const, std::string> >, std::pair<std::string const, std::string> const&)
  0.00      0.10     0.00     8719     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::string const, std::string> >::destroy(std::pair<std::string const, std::string>*)
  0.00      0.10     0.00     8289     0.00     0.00  std::_List_const_iterator<KeepAliveClient>::operator!=(std::_List_const_iterator<KeepAliveClient> const&) const
  0.00      0.10     0.00     8161     0.00     0.00  Time::elapsed(long) const
  0.00      0.10     0.00     8112     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, std::string> >::operator==(std::_Rb_tree_const_iterator<std::pair<std::string const, std::string> > const&) const
  0.00      0.10     0.00     8032     0.00     0.00  std::_List_iterator<std::string*>::operator--()
  0.00      0.10     0.00     7962     0.00     0.00  Mutex::unlock()
  0.00      0.10     0.00     7948     0.00     0.00  Mutex::lock()
  0.00      0.10     0.00     7944     0.00     0.00  std::list<std::string*, std::allocator<std::string*> >::back()
  0.00      0.10     0.00     7879     0.00     0.00  Parser::peekIfEqual(std::string const&, std::string&)
  0.00      0.10     0.00     7711     0.00     0.00  MutexLock::~MutexLock()
  0.00      0.10     0.00     7105     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::end() const
  0.00      0.10     0.00     6805     0.00     0.00  std::vector<zAPI::ISendResponse*, std::allocator<zAPI::ISendResponse*> >::end() const
  0.00      0.10     0.00     6799     0.00     0.00  std::vector<zAPI::ISendResponse*, std::allocator<zAPI::ISendResponse*> >::begin() const
  0.00      0.10     0.00     6791     0.00     0.00  __gnu_cxx::__normal_iterator<zAPI::ISendResponse* const*, std::vector<zAPI::ISendResponse*, std::allocator<zAPI::ISendResponse*> > >::difference_type __gnu_cxx::operator-<zAPI::ISendResponse* const*, zAPI::ISendResponse* const*, std::vector<zAPI::ISendResponse*, std::allocator<zAPI::ISendResponse*> > >(__gnu_cxx::__normal_iterator<zAPI::ISendResponse* const*, std::vector<zAPI::ISendResponse*, std::allocator<zAPI::ISendResponse*> > > const&, __gnu_cxx::__normal_iterator<zAPI::ISendResponse* const*, std::vector<zAPI::ISendResponse*, std::allocator<zAPI::ISendResponse*> > > const&)
  0.00      0.10     0.00     6744     0.00     0.00  std::_Deque_iterator<zAPI::IResponseStream*, zAPI::IResponseStream*&, zAPI::IResponseStream**>::_S_buffer_size()
  0.00      0.10     0.00     6690     0.00     0.00  Parser::hasEOL()
  0.00      0.10     0.00     6659     0.00     0.00  HttpTransaction::setHeaderOption(std::string const&, std::string const&)
  0.00      0.10     0.00     6604     0.00     0.00  Parser::readIdentifier(std::string&)
  0.00      0.10     0.00     6461     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_begin() const
  0.00      0.10     0.00     6433     0.00     0.00  std::_List_base<std::string*, std::allocator<std::string*> >::_M_clear()
  0.00      0.10     0.00     6429     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::find(std::string const&) const
  0.00      0.10     0.00     6429     0.00     0.00  std::_List_base<std::string*, std::allocator<std::string*> >::_M_init()
  0.00      0.10     0.00     6424     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::find(std::string const&) const
  0.00      0.10     0.00     6420     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_end() const
  0.00      0.10     0.00     6126     0.00     0.00  std::_List_iterator<KeepAliveClient>::operator*() const
  0.00      0.10     0.00     6080     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::key_comp() const
  0.00      0.10     0.00     6077     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::key_comp() const
  0.00      0.10     0.00     6002     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, void*> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<std::string const, void*> >*)
  0.00      0.10     0.00     5999     0.00     0.00  HttpParser::parseOptionHost()
  0.00      0.10     0.00     5990     0.00     0.01  HttpParser::parseOptions()
  0.00      0.10     0.00     5964     0.00     0.00  Parser::appendIdentifier(std::string&)
  0.00      0.10     0.00     5755     0.00     0.00  std::list<std::string*, std::allocator<std::string*> >::clear()
  0.00      0.10     0.00     5687     0.00     0.00  __gnu_cxx::new_allocator<std::string*>::destroy(std::string**)
